tiempo,u (entrada),v (salida)
0.0339,75,28.73
0.1005,75,53.64
0.1602,76,75.7
0.2205,77,94.84
0.2816,78,111.48
0.3416,79,125.83
0.4063,79,138.32
0.4665,80,149.65
0.5231,80,159.26
0.5865,80,168.2
0.7006,80,175.49
0.7006,79,181.44
0.7624,79,187.04
0.8264,78,192.09
0.8860,78,195.85
0.9456,77,199.63
1.0061,76,203.67
1.0662,75,206.53
1.1261,74,209.52
1.1855,73,212.04
1.2455,72,214.39
1.3060,71,216.81
1.3663,70,218.94
1.4221,70,220.95
1.5432,69,222.48
1.5473,69,223.95
1.6062,69,225.01
1.6662,69,226.3
1.7269,69,227.33
1.7865,70,228.34
1.8463,70,229.6
1.9065,71,230.7
1.9666,72,231.56
2.0222,73,232.08
2.0862,74,232.54
2.1465,75,232.01
2.2066,76,232.48
2.2662,77,232.42
2.3269,78,232.49
2.3866,78,231.73
2.4514,79,232.46
2.5110,80,231.7
2.5706,80,231.5
2.6313,80,231.21
2.6914,80,230.48
2.7514,80,230.66
2.8102,79,230.93
2.8704,79,230.24
2.9311,78,229.62
2.9906,77,228.61
3.0513,76,228.66
3.1103,75,228.34
3.1711,74,229.01
3.2303,73,229.24
3.2908,72,229.8
3.3513,72,230.18
3.4709,71,230.39
3.4720,70,230.11
3.5301,70,231.04
3.5911,69,231.38
3.6514,69,231.57
3.7104,69,232.45
3.7711,69,232.51
3.8314,70,232.33
3.8913,70,233.47
4.0110,71,233.65
4.0110,71,234.16
4.0615,72,235.08
4.1308,73,234.48
4.1878,74,235.37
4.2505,75,234.62
4.3110,76,234.19
4.4261,77,233.58
4.4261,78,233.16
4.5544,79,232.79
4.5544,79,232.58
4.6121,80,231.93
4.6763,80,231.93
4.7355,80,230.77
4.7962,80,229.62
4.8555,80,229.43
4.9166,79,229.38
4.9740,79,228.98
5.0355,78,228.87
5.0961,77,228.41
5.1563,76,228.13
5.2154,75,227.65
5.2762,74,227.33
5.3366,73,226.94
5.4558,72,226.95
5.4564,71,226.49
5.5104,71,227.37
5.5754,70,228.03
5.6353,69,228.73
5.6965,69,230.29
5.7556,69,230.96
5.8155,69,232.14
5.8762,69,233.88
5.9364,70,234.84
5.9961,70,235.8
6.0552,71,236.52
6.1160,72,237.87
6.1756,73,238.83
6.2352,74,239.79
6.2956,75,240.4
6.3556,76,240.94
6.4155,77,240.48
6.4758,77,240.42
6.5411,78,240.14
6.6608,79,239.06
6.6612,79,238.12
6.7122,80,236.69
6.7811,80,234.85
6.8405,80,233.11
6.9516,80,231.68
6.9620,79,229.37
7.0208,79,226.63
7.0811,78,225.26
7.1406,78,223.47
7.2011,77,221.77
7.2609,76,219.8
7.3811,75,218.42
7.3811,74,217.66
7.4408,73,216.53
7.5004,72,215.88
7.5604,71,215.07
7.6208,70,214.36
7.6810,70,213.73
7.7411,69,213.29
7.8008,69,214.55
7.9128,69,215.78
7.9128,69,218.27
7.9765,69,220.82
8.1012,70,223.66
8.1012,70,227.22
8.1603,71,230.48
8.2210,72,233.25
8.3401,73,235.92
8.3401,74,238.16
8.4015,75,241.08
8.4607,76,243.06
8.5193,77,246.93
8.5855,78,249.64
8.6456,79,252.62
8.7058,79,254.42
8.7665,80,256.14
8.8261,80,258.0
8.9397,80,259.76
8.9397,80,261.79
9.0629,80,264.04
9.0629,79,266.03
9.1254,79,267.32
9.1853,78,268.11
9.2455,77,270.56
9.3034,76,270.96
9.3662,75,271.67
9.4259,74,271.83
9.4866,73,271.26
9.5455,72,270.76
9.6055,72,271.02
9.6656,71,271.02
9.7256,70,271.37
9.8391,70,272.97
9.8391,69,272.27
9.9033,69,272.71
9.9655,69,273.33
10.0263,69,276.11
10.0867,70,276.57
10.1455,70,276.26
10.2605,71,277.41
10.2605,71,277.71
10.3262,72,278.69
10.3855,73,278.49
10.4455,74,278.31
10.5059,75,279.69
10.5665,76,280.9
10.6310,77,281.5
10.7508,78,282.38
10.7508,79,281.63
10.8107,79,281.44
10.8708,80,279.86
10.9308,80,278.35
10.9911,80,277.13
